Timestap,Hot water flow (gpm),Ambient temperature [F],Inlet cold water temperature [F]
2:31,0,71.6,50
2:32,0,71.6,50
2:33,0.45,71.6,50
2:34,0,71.6,50
2:35,0,71.6,50
2:36,0.61,71.6,50
2:37,0.6,71.6,50
2:38,1,71.6,50
2:39,1.02,71.6,50
2:40,1.06,71.6,50
2:41,1.08,71.6,50
2:42,0,71.6,50
2:43,0,71.6,50
2:44,0,71.6,50
2:45,0,71.6,50
2:46,0,71.6,50
2:47,0,71.6,50
2:48,0,71.6,50
2:49,0,71.6,50
2:50,0,71.6,50
2:51,0,71.6,50
2:52,0,71.6,50
2:53,0,71.6,50
2:54,0.85,71.6,50
2:55,0.62,71.6,50
2:56,0.62,71.6,50
2:57,0.62,71.6,50
2:58,0.62,71.6,50
2:59,0.62,71.6,50
3:00,0.62,71.6,50
3:01,0,71.6,50
3:02,0,71.6,50
3:03,0,71.6,50
3:04,0,71.6,50
3:05,0,71.6,50
3:06,0,71.6,50
3:07,0,71.6,50
3:08,0,71.6,50
3:09,0,71.6,50
3:10,0,71.6,50
3:11,0,71.6,50
3:12,0,71.6,50
3:13,0,71.6,50
3:14,0,71.6,50
3:15,0,71.6,50
