TimeStap,How water draw [GPM],Ambient Temp [F],Inlet cold water Temp [F],Tank Temp [F],Power [W],EWH_ON_OFF,Energy take [Wh],Energy storage [Wh],Event type
2:31,0,71.6,50,124.99728045435852,0,0,0.3296296296318219,9090.241179435781,Normal_Operation
2:32,0,71.6,50,124.9945610472176,0,0,0.6592424719407692,9089.91156659347,Normal_Operation
2:33,0.45,71.6,50,124.31689072914517,0,0,82.79804262713147,9007.77276643828,Normal_Operation
2:34,0,71.6,50,124.31420597277037,0,0,83.12345553286818,9007.447353532543,Normal_Operation
2:35,0,71.6,50,124.31152135312438,0,0,83.44885186603192,9007.121957199379,Normal_Operation
2:36,0.61,71.6,50,123.40223630969209,0,0,193.66111950530342,8896.909689560107,Normal_Operation
2:37,0.6,71.6,50,122.51877129895753,0,0,300.743802670826,8789.827006394586,Normal_Operation
2:38,1,71.6,50,121.06580269090806,0,0,476.8546562017987,8613.716152863613,Normal_Operation
2:39,1.02,71.6,50,119.6135411304684,5560,1,652.8798101812719,8437.690998884142,Normal_Operation
2:40,1.06,71.6,50,118.8998172823444,5560,1,739.3885725744707,8351.182236490942,Normal_Operation
2:41,1.08,71.6,50,118.17370080128808,5560,1,827.3994163967628,8263.17139266865,Normal_Operation
2:42,0,71.6,50,118.93585735306056,5560,1,735.0202417103517,8355.55056735506,Normal_Operation
2:43,0,71.6,50,119.69797508986059,5560,1,642.645771694013,8447.925037371399,Normal_Operation
2:44,0,71.6,50,120.46005401366496,5560,1,550.2760061081468,8540.294802957265,Normal_Operation
2:45,0,71.6,50,121.22209412645029,5560,1,457.9109447131705,8632.659864352241,Normal_Operation
2:46,0,71.6,50,121.98409543019316,5560,1,365.55058726950665,8725.020221795905,Normal_Operation
2:47,0,71.6,50,122.74605792687004,5560,1,273.1949335375949,8817.375875527818,Normal_Operation
2:48,0,71.6,50,123.50798161845728,5560,1,180.8439832778837,8909.726825787528,Normal_Operation
2:49,0,71.6,50,124.26986650693114,5560,1,88.49773625083685,9002.073072814574,Normal_Operation
2:50,0,71.6,50,125.03171259426776,5560,1,-3.843807783069707,9094.414616848482,Normal_Operation
2:51,0,71.6,50,125.79351988244323,0,0,-96.1806490633532,9186.751458128763,Normal_Operation
2:52,0,71.6,50,125.79075992456322,0,0,-95.84612116284218,9186.416930228253,Normal_Operation
2:53,0,71.6,50,125.78800010724186,0,0,-95.51161029910985,9186.08241936452,Normal_Operation
2:54,0.85,71.6,50,124.49684442864887,0,0,60.986284657909394,9029.5845244075,Normal_Operation
2:55,0.62,71.6,50,123.57038963670904,0,0,173.27965649160285,8917.291152573809,Normal_Operation
2:56,0.62,71.6,50,122.65547006651306,0,0,284.17487165781915,8806.395937407595,Normal_Operation
2:57,0.62,71.6,50,121.75194209384763,0,0,393.6893385043046,8696.881470561106,Normal_Operation
2:58,0.62,71.6,50,120.85966388275409,0,0,501.84024862873184,8588.73056043668,Normal_Operation
2:59,0.62,71.6,50,119.97849536326314,0,0,608.6445795774234,8481.92622948799,Normal_Operation
3:00,0.62,71.6,50,119.10829820940651,5560,1,714.119097510501,8376.45171155491,Normal_Operation
3:01,0,71.6,50,119.87040716416946,5560,1,621.7456919438952,8468.825117121518,Normal_Operation
3:02,0,71.6,50,120.632477306384,5560,1,529.3769907535508,8561.193818311862,Normal_Operation
3:03,0,71.6,50,121.39450863802675,5560,1,437.012993699887,8653.557815365526,Normal_Operation
3:04,0,71.6,50,122.15650116107426,5560,1,344.65370054332965,8745.917108522082,Normal_Operation
3:05,0,71.6,50,122.91845487750295,5560,1,252.29911104432196,8838.271698021088,Normal_Operation
3:06,0,71.6,50,123.68036978928914,5560,1,159.94922496331918,8930.621584102091,Normal_Operation
3:07,0,71.6,50,124.4422458984091,5560,1,67.60404206078346,9022.966767004627,Normal_Operation
3:08,0,71.6,50,125.20408320683893,5560,1,-24.736437902805875,9115.30724696822,Normal_Operation
3:09,0,71.6,50,125.9658817165547,0,0,-117.07221516696255,9207.643024232373,Normal_Operation
3:10,0,71.6,50,125.96311298066206,0,0,-116.73662330451343,9207.307432369927,Normal_Operation
3:11,0,71.6,50,125.96034438577513,0,0,-116.40104853302999,9206.97185759844,Normal_Operation
3:12,0,71.6,50,125.95757593188668,0,0,-116.06549085163549,9206.63629991705,Normal_Operation
3:13,0,71.6,50,125.95480761898956,0,0,-115.72995025946352,9206.300759324875,Normal_Operation
3:14,0,71.6,50,125.95203944707659,0,0,-115.39442675564254,9205.965235821055,Normal_Operation
3:15,0,71.6,50,125.94927141614058,0,0,-115.05892033930269,9205.629729404716,Normal_Operation
